home_elo,away_elo,elo_diff,home_avg_overall,home_max_overall,home_avg_attack,home_avg_defense,home_avg_pace,home_avg_shooting,home_avg_passing,away_avg_overall,away_max_overall,away_avg_attack,away_avg_defense,away_avg_pace,away_avg_shooting,away_avg_passing,overall_diff,attack_diff,defense_diff,home_form_scored,home_form_conceded,home_form_win_rate,away_form_scored,away_form_conceded,away_form_win_rate,is_neutral,is_world_cup,is_continental,home_goals,away_goals,_home_team,_away_team,_date,_tournament,home_trophy_bonus,away_trophy_bonus
1832.364753,1763.613375,68.75137818,70.85714286,82,72.5,68.85714286,72.07142857,61.21428571,64.0,72.07142857,79,71.71428571,71.25,71.1,66.1,69.2,-1.214285714,0.785714286,-2.392857143,1.0,1.8,0.4,1.6,0.4,0.4,0,0,0,1,1,Iran,Russia,23-03-2023,Friendly,0.1,0.0
2054.602341,1669.088369,385.5139714,84.14285714,90,85.0,83.11111111,73.61538462,71.23076923,77.69230769,67.92857143,72,67.625,68.57142857,69.64285714,57.0,57.0,16.21428571,17.375,14.53968254,2.4,1.2,0.6,1.2,1.4,0.0,0,0,0,2,0,Argentina,Panama,23-03-2023,Friendly,1.0,0.15
1673.823473,1588.178892,85.64458037,75.71428571,83,77.33333333,74.88888889,69.08333333,63.91666667,69.83333333,71.92857143,76,71.55555556,72.6,70.30769231,63.76923077,66.38461538,3.785714286,5.777777778,2.288888889,1.4,1.4,0.6,0.6,1.0,0.0,0,0,0,3,0,Bosnia and Herzegovina,Iceland,23-03-2023,European Championship qual,0.0,0.0
1937.794031,1142.640039,795.1539921,84.71428571,89,85.0,84.0,76.25,73.75,78.5,69.0,69,69.0,69.0,70.0,57.0,69.0,15.71428571,16.0,15.0,2.4,1.2,0.6,0.2,2.0,0.0,0,0,0,4,0,Portugal,Liechtenstein,23-03-2023,European Championship qual,0.3,0.0
1946.527895,1954.077755,-7.549860255,84.35714286,87,84.25,84.22222222,75.5,65.33333333,73.0,85.28571429,90,85.625,84.71428571,77.0,72.07692308,80.07692308,-0.928571429,-1.375,-0.492063492,1.6,1.6,0.6,2.6,0.8,0.6,0,0,0,1,2,Italy,England,23-03-2023,European Championship qual,0.0,0.25
1607.558107,1581.306133,26.25197394,68.0,75,68.625,67.55555556,67.75,59.91666667,64.33333333,71.07142857,76,71.5,70.66666667,79.25,61.25,63.75,-3.071428571,-2.875,-3.111111111,0.0,1.0,0.0,0.4,1.2,0.2,0,0,0,0,0,New Zealand,China,23-03-2023,Friendly,0.1,0.0
1844.785834,1903.286854,-58.50102016,76.07142857,87,76.625,75.16666667,74.0,69.23076923,69.46153846,78.42857143,84,79.0,77.875,77.0,68.0,68.84615385,-2.357142857,-2.375,-2.708333333,1.2,1.6,0.4,2.0,0.6,0.8,0,0,0,2,2,South Korea,Colombia,24-03-2023,Friendly,0.1,0.25
1653.808039,1381.519649,272.2883904,67.71428571,74,68.125,67.16666667,72.92857143,54.64285714,56.57142857,65.16666667,76,61.0,67.0,66.33333333,48.5,59.16666667,2.547619048,7.125,0.166666667,2.0,0.6,0.8,0.2,1.6,0.0,0,0,0,2,2,South Africa,Liberia,24-03-2023,African Nations Cup qualifier,0.1,0.0
1515.684652,1523.935089,-8.250436744,74.0,80,74.71428571,73.55555556,78.21428571,62.57142857,66.42857143,65.33333333,66,64.0,66.0,71.5,52.5,52.0,8.666666667,10.71428571,7.555555556,1.0,1.6,0.2,1.6,0.0,0.8,0,0,0,3,1,democratic republic of congo,Mauritania,24-03-2023,African Nations Cup qualifier,0.0,0.0
1802.060433,1813.107988,-11.04755426,72.85714286,78,71.75,72.83333333,71.07692308,60.15384615,62.92307692,75.42857143,80,75.66666667,75.36363636,75.2,55.9,68.7,-2.571428571,-3.916666667,-2.53030303,1.2,1.2,0.6,0.8,0.6,0.2,0,0,0,3,1,Australia,Ecuador,24-03-2023,Friendly,0.0,0.0
